id,status,dtegranted,archived,code,LayerName,objectid,areaunit,dteapplied,LayerID,commodities,part,parties,dteexpires,areavalue,type,commoditiescd
1700,Active,2013-03-08T00:00:00,False,PML000560LZ,Active PML Licenses,70652,Hectares,2012-08-06T13:11:00,4,Building Materials,Part 1,"Bukimale Kimoga (10%), Charles Pambe Pambe (10%), Andrea Robart (10%), Hoja Maliganya (10%), Selestini Sililo (10%), Petro M. Kahindi (10%), Robati Bra (10%), Thabiza Kimoga (10%), Makoye Ndege (10%), Ngwininga Kisumo Mwininga (10%)",2020-03-07T00:00:00,2.44,Primary Mining Licence - Building Material,BM
1701,Active,2012-08-06T01:00:00,False,PML004026EZ,Active PML Licenses,70657,Hectares,2012-05-02T08:30:00,4,Gold,Part 1,Laban John Ntilatwa (100%),2019-08-05T01:00:00,9.24,Primary Mining Licence - All Minerals other than Building Material,Au
1702,Active,2013-02-25T00:00:00,False,PML001795NZ,Active PML Licenses,70659,Hectares,2011-01-21T03:20:00,4,Sand,Part 1,"LENGAI SANINGO (40%), EDWARD KEPHA (30%), SABORE SALIMU (30%)",2020-02-24T00:00:00,1.61,Primary Mining Licence - Building Material,Sand
1703,Active,2012-09-06T01:00:00,False,PML004879EZ,Active PML Licenses,70660,Hectares,2010-11-09T11:41:00,4,Gold,Part 1,Oscar Obed Pelesi (100%),2019-09-05T01:00:00,9.12,Primary Mining Licence - All Minerals other than Building Material,Au
1704,Active,2012-09-06T01:00:00,False,PML004878EZ,Active PML Licenses,70663,Hectares,2010-11-09T11:34:00,4,Gold,Part 1,Oscar Obed Pelesi (100%),2019-09-05T01:00:00,8.87,Primary Mining Licence - All Minerals other than Building Material,Au
1705,Active,2011-03-30T01:00:00,False,PML000106EZ,Active PML Licenses,70665,Hectares,2010-10-28T11:00:00,4,Gold,Part 1,Irene Daniel Musokwa (100%),2018-03-29T01:00:00,8.94,Primary Mining Licence - All Minerals other than Building Material,Au
1706,Active,2012-07-10T01:00:00,False,PML003446EZ ,Active PML Licenses,70666,Hectares,2010-11-09T11:10:00,4,Gold,Part 1,Irene Daniel Musokwa (100%),2019-07-09T01:00:00,8.97,Primary Mining Licence - All Minerals other than Building Material,Au
1707,Active,2012-08-30T01:00:00,False,HA.808/2010,Active PML Licenses,70668,Hectares,2010-10-27T08:30:00,4,Gold,Part 1,"Yahaya Ally Makame (49%), Paschal Musira Rugembe (2%), Bakari Adamu Ngomelo (2%), Sadiki Majaliwa (2%), Zakaria Zuberi Mtula (2%), Omary Ally Mndailla (2%), Abeid Salum Shabani (2%), Mgeni Swetbet Makambi (2%), Kachwambwa Ramadhan Khamisi (2%), Thobias S",2017-08-29T01:00:00,9.27,Primary Mining Licence - All Minerals other than Building Material,Au
1708,Active,2013-01-08T00:00:00,False,PML006259EZ,Active PML Licenses,70674,Hectares,2010-11-09T11:15:00,4,Gold,Part 1,Irene Daniel Musokwa (100%),2020-01-07T00:00:00,9.26,Primary Mining Licence - All Minerals other than Building Material,Au
1709,Active,2012-07-04T01:00:00,False,PML004597EZ,Active PML Licenses,70676,Hectares,2010-10-27T08:30:00,4,Gold,Part 1,"Yahaya Ally Makame (49%), Bryson  Wilfred (2%), Julian Eliamani Kilonzo (2%), Paschal Musira Rugembe (2%), Athumani Hoseni Mbwambo (2%), Charles Martin Lyewe (2%), Salimu Hamisi  Ramadhani (2%), Majaliwa Yusuph (2%), Bakari Adamu Ngomelo (2%), Kachwambwa",2019-07-03T01:00:00,9.36,Primary Mining Licence - All Minerals other than Building Material,Au
1710,Active,2012-09-03T01:00:00,False,PML004595EZ,Active PML Licenses,70678,Hectares,2010-10-27T08:30:00,4,Gold,Part 1,"Yahaya Ally Makame (49%), Sadiki Majaliwa (2%), Zakaria Zuberi Mtula (2%), Paschal Musira Rugembe (2%), Athumani Hoseni Mbwambo (2%), Omary Ally Mndailla (2%), Abeid Salum Shabani (2%), Mgeni Swetbet Makambi (2%), Bakari Adamu Ngomelo (2%), Kachwambwa Ra",2019-09-02T01:00:00,9.28,Primary Mining Licence - All Minerals other than Building Material,Au
1711,Active,2012-09-03T01:00:00,False,PML004596EZ,Active PML Licenses,70680,Hectares,2010-10-27T08:30:00,4,Gold,Part 1,"Yahaya Ally Makame (49%), Paschal Musira Rugembe (2%), Bryson  Wilfred (2%), Julian Eliamani Kilonzo (2%), Martin Hakim (2%), Charles Martin Lyewe (2%), Salimu Hamisi  Ramadhani (2%), Majaliwa Yusuph (2%), Bakari Adamu Ngomelo (2%), Kachwambwa Ramadhan K",2019-09-02T01:00:00,9.37,Primary Mining Licence - All Minerals other than Building Material,Au
